X,Y,Z,Charge
16.041740844886,15.465966081095,14.299784511214,0
15.573724474872,16.176739388076,14.737955509072,0.52
15.496674499838,15.250378509280,13.543043790586,0.52
15.912054034644,15.529355829550,14.259003743196,-1.04
14.081238093515,12.551774255098,27.529814008109,0
14.095129356750,12.559044585274,26.572742425109,0.52
13.383793412574,13.163975577449,27.764361013677,0.52
13.993735009064,12.631074100468,27.437322145031,-1.04
17.192454727032,13.889752102750,30.028435885987,0
17.139424058151,13.303458385199,29.273664884425,0.52
16.656562653010,14.644361438317,29.784271442309,0.52
17.117065510663,13.911298532563,29.900560096967,-1.04
17.808579313828,16.499761251726,6.710626722346,0
17.139095461618,17.092609779967,7.052026537921,0.52
18.047851709757,16.871412280967,5.861594288988,0.52
17.753507056977,16.623228831648,6.645643622746,-1.04
12.734446394927,14.866856945380,39.595421314888,0
13.661289899511,14.890649611411,39.357457311441,0.52
12.672086724460,14.169515320163,40.248152323131,0.52
12.845110755582,14.780634552321,39.648516495613,-1.04
12.892189573784,17.330891037706,28.312887662364,0
13.772782185048,17.669800667694,28.473911746183,0.52
12.507811347401,17.237669338437,29.184549829577,0.52
12.955711001812,17.362342057032,28.445083961724,-1.04
14.936907516549,18.588769674920,33.096182967231,0
14.047330387166,18.555810501745,32.744333477158,0.52
14.822170990427,18.822708044911,34.017236824778,0.52
14.808343251728,18.614497436901,33.169047993646,-1.04
14.894355363865,13.035312884350,2.448873917951,0
15.276892819306,13.891109079497,2.255199429597,0.52
14.922693514060,12.565585267253,1.615336423376,0.52
14.946952398548,13.084734320209,2.317378390954,-1.04
12.375628933991,14.419089500678,5.926587704384,0
12.277315055400,14.676332308219,6.843316867838,0.52
13.234446297744,13.998338456271,5.886175648872,0.52
12.472982555470,14.398158473653,6.038766866855,-1.04
15.768421476823,15.613476334975,1.917370976661,0
15.560251900805,16.465732606389,2.300197981114,0.52
16.642171507994,15.725566992994,1.542900140287,0.52
15.853623805226,15.736924376665,1.918440666991,-1.04
12.451070368022,14.497501083274,28.087994868549,0
11.951758018159,14.660042451602,28.888306883165,0.52
12.843917513356,15.343779249908,27.874181340067,0.52
12.437441537353,14.626642155028,28.163073750804,-1.04
12.966325486601,13.927154956598,.107473875744,0
13.153726828479,13.910009821176,1.045993252888,0.52
13.503102094962,13.223575498089,-0.257325600904,0.52
13.059029001347,13.834893513125,.180916944865,-1.04
15.457709567795,18.462279240250,4.911106315174,0
15.006246033331,17.699676134273,5.272836905094,0.52
16.373434239851,18.340251439599,5.161684408268,0.52
15.517140594658,18.349035811242,4.989489214026,-1.04
17.953540533646,15.904716153990,-8.772810573245,0
18.325272959870,15.153798408806,-9.235594954078,0.52
18.241814211899,15.794896013057,-7.866681629356,0.52
18.038029277909,15.794531319874,-8.716057120278,-1.04
17.699470896236,13.116999315170,3.120156749360,0
17.659332570649,13.377112737314,4.040462004328,0.52
16.841245988785,12.732457896947,2.941803880634,0.52
17.584469563769,13.101071030464,3.215135606360,-1.04
18.606110397891,14.726737677809,27.625244105286,0
19.198575281282,14.043181352199,27.938242430440,0.52
17.741811310676,14.315392480575,27.628993296365,0.52
18.571312340156,14.586577073037,27.665791608882,-1.04
12.674750160519,16.606112900454,2.879074254256,0
12.438293862335,15.692093665938,2.721311464396,0.52
12.846910692599,16.650559409890,3.819615108699,0.52
12.666519526738,16.494797100360,2.979279290640,-1.04
18.395894213121,16.587675725784,-1.240206895930,0
18.556376643597,15.807621381447,-1.771236508355,0.52
18.829171602858,16.403887601960,-0.406705564818,0.52
18.471902633745,16.464292261223,-1.201486866655,-1.04
14.703059262731,13.240004878584,5.378424707825,0
15.048950849995,13.216625757605,4.486211579450,0.52
15.406947944245,13.627521790961,5.898620062033,0.52
14.837443802600,13.286618909159,5.330801944384,-1.04
13.026870512425,16.929891412928,5.533850397266,0
12.810862540888,16.004596095541,5.649612963479,0.52
12.272953842693,17.398892711630,5.891452518062,0.52
12.902708456325,16.871480273407,5.594446788288,-1.04
17.864501658495,13.649909600353,5.865813720663,0
17.466621653434,13.253183663629,6.640753636131,0.52
18.069377437045,14.545864123854,6.133252025819,0.52
17.839794788930,13.713816882590,5.999250709063,-1.04
13.070741249007,13.137706410919,24.317936347336,0
12.889742669489,13.940462823691,24.806867319815,0.52
12.601006732906,13.249057818552,23.491387989233,0.52
12.987439561756,13.254723240525,24.274717248666,-1.04
17.035491188566,13.393760061112,8.318516549286,0
16.303764515170,12.795867406219,8.471265652549,0.52
16.644505853180,14.266571636945,8.358041990313,0.52
16.891770506064,13.428952999854,8.343130010723,-1.04
16.178827042074,12.030550543087,12.700520673913,0
17.093582638719,11.819467338304,12.513710826880,0.52
16.170980778969,12.980421692607,12.818482851524,0.52
16.294922378513,12.125124313396,12.691707341589,-1.04
14.355375960174,12.765167599325,14.891539090546,0
14.929648001625,12.264323595346,14.312230238577,0.52
14.806012330676,12.763740783818,15.736025126937,0.52
14.486576602294,12.700870874597,14.925484969481,-1.04
17.786869307516,13.818204566035,20.148084640368,0
17.003585554454,13.273026172455,20.222104375882,0.52
17.964779530092,13.856360451581,19.208337908007,0.52
17.709374191859,13.753299567845,20.037261139886,-1.04
12.381613545367,14.117079950309,22.001848860176,0
12.072101727371,15.009324942254,22.157839721298,0.52
12.890776921228,14.177558421154,21.193562493145,0.52
12.407171353544,14.239040048034,21.918347165557,-1.04
14.976793031023,15.565300977917,-1.206644102187,0
14.211038334911,15.176142908526,-0.784260884845,0.52
14.910503614235,16.499691433169,-1.009788748596,0.52
14.870281346065,15.635097301467,-1.127374094073,-1.04
15.575038179707,12.175044306778,20.455808157205,0
15.494938002919,12.081396219593,21.405042499888,0.52
14.815606848910,12.699250865100,20.201439570508,0.52
15.467568017895,12.230160985717,20.544759357438,-1.04
18.582467347526,16.372217449340,9.438789275656,0
19.529918665293,16.278826701454,9.339562220110,0.52
18.258376929803,16.492428381319,8.546182658576,0.52
18.662265063502,16.375650756486,9.311822599213,-1.04
12.294865272270,16.393682714194,30.668340486069,0
12.431039483931,15.449219808035,30.743694602407,0.52
12.505452727857,16.736563807802,31.536854918349,0.52
12.339254949313,16.316672984180,30.789167047946,-1.04
16.907364310512,12.411824378864,-3.100361506708,0
16.990607428272,12.292262703648,-4.046409829495,0.52
15.967476471149,12.345200997853,-2.931826601119,0.52
16.797703450837,12.387990445368,-3.199892604710,-1.04
13.124404666151,12.917546622381,19.183594849891,0
13.012495795058,12.024234199139,19.508711996369,0.52
13.136625165268,12.826408672681,18.230821858351,0.52
13.111643351811,12.791525097376,19.103247329135,-1.04
14.006349271761,18.018353235456,20.540712762866,0
14.100153545795,18.362999889385,19.652652358395,0.52
14.850436006521,18.193768292228,20.956620182784,0.52
14.126410636423,18.084927408904,20.480271484378,-1.04
17.950034484937,17.044700622435,13.020491754210,0
